───────────────────────────────────────────────────────────────────────────────
Language            Files       Lines    Blanks  Comments       Code Complexity
~schematika\pid\__init__.py        70         1         5         64          0
~ematika\block\constants.py        70         9        13         48          0
~unit\test_pcb_constants.py        69        20         6         43          1
~lectrical\symbols\coils.py        66        12         9         45          4
tests\unit\_factories.py           62         0        23         39          7
~hematika\catalog\device.py        58         5         1         52          0
~\unit\test_pcb_rotation.py        55        10         5         40          0
~ts\unit\test_references.py        54        12        21         21          0
~ts\unit\test_primitives.py        50         7         0         43          0
~schematika\pcb\__init__.py        50         2         4         44          0
~ore\connection_registry.py        49         9        15         25          0
~\schematika\core\symbol.py        44         9        14         21          0
~c\schematika\core\state.py        43         7        16         20          0
~sts\unit\test_mcp_smoke.py        42        13        14         15          0
~hematika\core\constants.py        40         8        12         20          0
~s\unit\test_wire_helper.py        40        14         7         19          0
~trical\symbols\__init__.py        36         1         0         35          0
~ematika\electrical\wire.py        36         7        13         16          0
tests\unit\test_utils.py           35         8         3         24          0
~hematika\core\traversal.py        33         8         3         22          5
~it\test_internal_device.py        26         7         0         19          2
~c\schematika\core\utils.py        26         4         5         17          3
tests\unit\test_state.py           25         5         3         17          2
~hematika\cable\__init__.py        24         2         5         17          0
~ka\pid\symbols\__init__.py        24         1         3         20          0
~ctrical\internal_device.py        23         5         7         11          0
~\electrical\model\parts.py        23         1         3         19          0
~chematika\core\__init__.py        19         0         7         12          0
~matika\catalog\__init__.py        15         1         6          8          0
~cal\utils\autonumbering.py        15         1         1         13          0
~endering\typst\__init__.py        13         1         6          6          0
~trical\model\primitives.py        11         1         1          9          0
~c\schematika\pid\styles.py        10         2         1          7          0
~ectrical\utils\renderer.py        10         1         1          8          0
~a\electrical\exceptions.py        10         1         1          8          0
~ctrical\utils\transform.py        10         1         1          8          0
~ematika\cable\constants.py        10         3         3          4          0
~ectrical\utils\__init__.py         6         0         0          6          0
src\schematika\__init__.py          6         1         4          1          0
~\electrical\model\state.py         6         1         1          4          0
~schematika\mcp\__main__.py         5         2         1          2          0
tests\conftest.py                   5         0         5          0          0
~a\electrical\model\core.py         4         1         1          2          0
~ectrical\model\__init__.py         4         0         0          4          0
~ctrical\layout\__init__.py         1         0         0          1          0
~tika\rendering\__init__.py         1         0         1          0          0
~ctrical\system\__init__.py         1         0         0          1          0
~schematika\mcp\__init__.py         1         0         1          0          0
───────────────────────────────────────────────────────────────────────────────
Plain Text              4         139         7         0        132          0
───────────────────────────────────────────────────────────────────────────────
~atika.egg-info\SOURCES.txt       118         0         0        118          0
~tika.egg-info\requires.txt        19         6         0         13          0
~-info\dependency_links.txt         1         1         0          0          0
~ika.egg-info\top_level.txt         1         0         0          1          0
───────────────────────────────────────────────────────────────────────────────
Typst                   1          78         8         3         67          0
───────────────────────────────────────────────────────────────────────────────
~t\templates\a3_drawing.typ        78         8         3         67          0
───────────────────────────────────────────────────────────────────────────────
Total                 179      41,020     4,924     5,261     30,835      1,916
───────────────────────────────────────────────────────────────────────────────
Estimated Cost to Develop (organic) $988,761
Estimated Schedule Effort (organic) 13.69 months
Estimated People Required (organic) 6.41
───────────────────────────────────────────────────────────────────────────────
Processed 1445283 bytes, 1.445 megabytes (SI)
───────────────────────────────────────────────────────────────────────────────

---
EXIT=0
